a little	văn chương, văn học
unwillingly	miễn cưỡng; bất đắc dĩ
up	ở trên, lên trên, lên
upon	trên, ở trên
upper	cao hơn
upset	làm đổ, đánh đổ
upsetting	tính đánh đổ, làm đổ
upside down	lộn ngược
upstairs	ở tên gác, cư ngụ ở tầng gác; tầng trên
upward	lên, hướng lên, đi lên
urban	(thuộc) thành phố, khu vực
urge	thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgent	gấp, khẩn cấp
use	sử dụng, dùng; sự dùng, sự sử dụng
used	đã dùng, đã sử dụng
used to	đã quen dùng
used to doing sth	đã dùng, đã sử dụng
used to sth	đã dùng, đã sử dụng
useful	hữu ích, giúp ích
useless	vô ích, vô dụng
user	người dùng, người sử dụng
usual	thông thường, thường dùng
usually	thường thường
vacation	kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid	chắc chắn, hiệu quả, hợp lý
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	giá trị, ước tính, định giá
van	tiền đội, quân tiên phong; xe tải
variation	sự biến đổi, sự thay đổi mức độ, sự khác nhau
varied	thuộc nhiều loại khác nhau, những vẻ đa dạng
variety	sự đa dạng, trạng thái khác nhau
various	khác nhau, thuộc về nhiều loại
vary	thay đổi, làm cho khác nhau, biến đổi
vast	rộng lớn, mênh mông
vegetable	rau, thực vật
vehicle	xe cộ
venture	sự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
version	bản dịch sang một ngôn ngữ khác
vertical	thẳng đứng, đứng
via	qua, theo đường
victim	nạn nhân
victory	chiến thắng
video	video
view	sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát
village	làng, xã
violence	sự ác liệt, sự dữ dội; bạo lực
violent	mãnh liệt, mạnh mẽ, hung dữ
violently	mãnh liệt, dữ dội
virtually	thực sự, hầu như, gần như
virus	vi rút
visible	hữu hình, thấy được
vision	sự nhìn, thị lực
visit	đi thăm hỏi, đến chơi, tham quan; sự đi thăm,
visitor	khách, du khách
vital	(thuộc) sự sống, cần cho sự sống
vocabulary	từ vựng
voice	tiếng, giọng nói
volume	thế tích, quyển, tập
vote	sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
wage	tiền lương, tiền công
waist	eo, chỗ thắt lưng
wait	chờ đợi
waiter	người hầu bàn, người đợi, người trông chờ
waitress	người nữ hầu bàn
wake	thức dậy, tỉnh thức
walk	đi, đi bộ; sự đi bộ, sự đi dạo
walking	sự đi, sự đi bộ
wall	tường, vách
wallet	cái ví
wander	đi lang thang; sự đi lang thang
want	muốn
war	chiến tranh
warm	ấm, ấm áp; làm cho nóng, hâm nóng
warmth	trạng thái ấm, sự ấm áp; hơi ấm
warn	báo cho biết, cảnh báo
warning	sự báo trước, lời cảnh báo
wash	rửa, giặt
washing	sự tắm rửa, sự giặt
waste	lãng phí, uổng phí; vùng hoang vu, sa mạc; bỏ hoang
watch	đồng hồ, nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
water	nước
wave	sóng, gợn nước; gợn sóng, uốn thành sóng
way	đường, đường đi
weak	yếu, yếu ớt
weakness	tình trạng yếu đuối, yếu ớt
wealth	sự giàu có, sự giàu sang
weapon	vũ khí
wear	mặc, mang, đeo
weather	thời tiết
web	mạng, lưới
website	không gian liên tới với internet
wedding	lễ cưới, hôn lễ
wednesday	thứ 4
week	tuần, tuần lễ
weekend	cuối tuần
weekly	mỗi tuần một lần, hàng tuần
weigh	cân, cân nặng
weight	trọng lượng
welcome	chào mừng, hoan nghênh
well	tốt, giỏi; ôi, may quá!
well known	nổi tiếng, được nhiều người biết đến
west	phía tây, theo phía tây, về hướng tây
western	về phía tây, của phía tây
wet	ướt, ẩm ướt
whatever	ướt, ẩm ướt
wheel	bánh xe
whenever	bất cứ lúc nào, lúc nào
whereas	nhưng ngược lại, trong khi
wherever	ở bất cứ nơi nào, ở bất cứ nơi đâu
whether	có..không; có... chăng; không biết có.. không
while	trong lúc, trong khi; lúc, chốc, lát
whilst	trong lúc, trong khi
whisper	nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào
whistle	sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
white	trắng; màu trắng
whoever	sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
whole	bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
whose	trắng; màu trắng
wide	rộng, rộng lớn
widely	nhiều, xa; rộng rãi
width	tính chất rộng, bề rộng
wild	dại, hoang
wildly	dại, hoang
will	sẽ; ý chí, ý định
willing	bằng lòng, vui lòng, muốn
willingly	sẵn lòng, tự nguyện
willingness	sự bằng lòng, sự vui lòng
win	chiếm, đọat, thu được
wind	gió, quấn lại, cuộn lại
wind sth up	gió, quấn lại, cuộn lại
wine	rượu, đồ uống
wing	cánh, sự bay, sự cất cánh
winner	người thắng cuộc
winning	đang dành thắng lợi, thắng cuộc
winter	mùa đông
wire	dây (kim loại)
wise	khôn ngoan, sáng suốt, thông thái
wish	ước, mong muốn; sự mong ước, lòng mong muốn
with	với, cùng
withdraw	rút, rút khỏi, rút lui
within	trong vong thời gian, trong khoảng thời gian
without	không, không có
witness	sự làm chứng, bằng chứng; chứng kiến, làm chứng
yours faithfully	trung thành, chung thủy, trung thực
yours sincerely	một cách chân thành
yours truly	đúng sự thật, đích thực, thực sự
